"No.","Time","Source","Destination","Protocol","Length","Info"
"50","0.201569","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=57401 Win=2825 Len=0"
"51","0.201921","192.168.43.243","205.185.216.10","TCP","54","55307  >  80 [ACK] Seq=1 Ack=60141 Win=2825 Len=0"
"52","0.220759","205.185.216.10","192.168.43.243","HTTP","1354","Continuation"
"53","0.227066","192.168.43.243","205.185.216.10","HTTP","500","GET /filestreamingservice/files/c1371070-13b3-4765-9782-10e387096f42?P1=1539930398&P2=402&P3=2&P4=crnbcJQoqZ7M91qYa%2bPIAxUc4WhZu%2bGZZGw5VxKkqtZsI5ABTKXCwOkbUhzNNWSHY%2bEKbKs8Arxth14D4tFs%2bQ%3d%3d HTTP/1.1 "
"54","0.350888","205.185.216.42","192.168.43.243","TCP","54","80  >  55357 [ACK] Seq=6823 Ack=446 Win=60 Len=0"
"55","0.360523","205.185.216.42","192.168.43.243","TCP","54","[TCP Keep-Alive] 80  >  55357 [ACK] Seq=6822 Ack=446 Win=60 Len=0"
"56","0.360524","205.185.216.42","192.168.43.243","TCP","444","80  >  55357 [PSH, ACK] Seq=6823 Ack=446 Win=60 Len=390 [TCP segment of a reassembled PDU]"
"57","0.360804","192.168.43.243","205.185.216.42","TCP","54","[TCP Dup ACK 45#1] 55357  >  80 [ACK] Seq=446 Ack=6823 Win=620 Len=0"
"58","0.363960","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=7213 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"59","0.363962","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=8583 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"60","0.363965","205.185.216.42","192.168.43.243","TCP","1410","80  >  55357 [PSH, ACK] Seq=9953 Ack=446 Win=60 Len=1356 [TCP segment of a reassembled PDU]"
"61","0.363966","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=11309 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"62","0.363967","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=12679 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"63","0.363968","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=14049 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"64","0.363969","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=15419 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"65","0.363970","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=16789 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"66","0.363971","205.185.216.42","192.168.43.243","TCP","1396","80  >  55357 [PSH, ACK] Seq=18159 Ack=446 Win=60 Len=1342 [TCP segment of a reassembled PDU]"
"67","0.363972","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=19501 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"68","0.363973","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=20871 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"69","0.363974","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=22241 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"70","0.363975","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=23611 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"71","0.363976","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=24981 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"72","0.363977","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=26351 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"73","0.363978","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=27721 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"74","0.363979","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=29091 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"75","0.366884","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=8583 Win=626 Len=0"
"76","0.366887","205.185.216.42","192.168.43.243","TCP","1382","80  >  55357 [PSH, ACK] Seq=30461 Ack=446 Win=60 Len=1328 [TCP segment of a reassembled PDU]"
"77","0.366889","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=31789 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"78","0.367351","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=33159 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"79","0.367359","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=11309 Win=626 Len=0"
"80","0.367556","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=34529 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"81","0.367559","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=35899 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"82","0.367901","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=14049 Win=626 Len=0"
"83","0.367993","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=37269 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"84","0.368326","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=16789 Win=626 Len=0"
"85","0.368586","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=19501 Win=626 Len=0"
"86","0.368840","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=22241 Win=626 Len=0"
"87","0.369107","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=24981 Win=626 Len=0"
"88","0.369352","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=27721 Win=626 Len=0"
"89","0.369598","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=30461 Win=626 Len=0"
"90","0.369860","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=33159 Win=626 Len=0"
"91","0.370117","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=35899 Win=626 Len=0"
"92","0.370361","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=38639 Win=626 Len=0"
"93","0.370958","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=38639 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"94","0.372488","205.185.216.42","192.168.43.243","TCP","1424","80  >  55357 [ACK] Seq=40009 Ack=446 Win=60 Len=1370 [TCP segment of a reassembled PDU]"
"95","0.372918","192.168.43.243","205.185.216.42","TCP","54","55357  >  80 [ACK] Seq=446 Ack=41379 Win=626 Len=0"
