"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","74.125.24.189","192.168.43.166","TLSv1.2","112","Application Data"
"2","0.041534","192.168.43.166","74.125.24.189","TCP","54","49363  >  443 [ACK] Seq=1 Ack=59 Win=67 Len=0"
"3","5.636653","192.168.43.166","172.217.27.206","TCP","55","49365  >  443 [ACK] Seq=1 Ack=1 Win=68 Len=1 [TCP segment of a reassembled PDU]"
"4","5.746844","172.217.27.206","192.168.43.166","TCP","66","443  >  49365 [ACK] Seq=1 Ack=2 Win=250 Len=0 SLE=1 SRE=2"
"5","6.459860","OneplusT_53:18:d3","Broadcast","ARP","42","Who has 192.168.43.166? Tell 192.168.43.1"
"6","6.459892","IntelCor_52:4a:86","OneplusT_53:18:d3","ARP","42","192.168.43.166 is at 2c:6e:85:52:4a:86"
"7","9.898087","192.168.43.166","40.77.226.13","TCP","54","49358  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65 Len=0"
"8","10.063261","40.77.226.13","192.168.43.166","TCP","54","443  >  49358 [FIN, ACK] Seq=1 Ack=2 Win=1028 Len=0"
